SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Vacant Land,1919 Capron St,Houston,TX,77020,72000,,,Chapmans 3,,6000,,95,,,Active,,,http://www.redfin.com/TX/Houston/1919-Capron-St-77020/home/29656707,HARMLS,66767374,N,Y,29.77975,-95.333409
MLS Listing,,Single Family Residential,2214 Abernathy St,Houston,TX,77026,197000,3,2.0,LT Blk 1 Abernathy Court,1496,2713,2020,96,132,,Active,,,http://www.redfin.com/TX/Houston/2214-Abernathy-St-77026/home/144929972,HARMLS,8277605,N,Y,29.7826312,-95.3285475
MLS Listing,,Vacant Land,Lot 31 Quail Ln,Falcon Heights,TX,78545,15000,,,Falconaire,,6534,,96,,,Active,,,http://www.redfin.com/TX/Falcon-Heights/Lot-31-Quail-LN-78545/home/171405311,MCALLENMLS,332907,N,Y,29.81197,-95.209994
MLS Listing,,Single Family Residential,8026 Laura Koppe Rd,Houston,TX,77028,150000,3,2.0,Clairmont Place,940,7020,1957,98,160,,Active,,,http://www.redfin.com/TX/Houston/8026-Laura-Koppe-Rd-77028/home/30021294,HARMLS,75333315,N,Y,29.8403519,-95.2811173
MLS Listing,,Vacant Land,2216 Des Chaumes St,Houston,TX,77026,199952,,,Champmans 3rd Add,,11269,,98,,,Active,,,http://www.redfin.com/TX/Houston/2216-Des-Chaumes-St-77026/unit-3/home/29576556,HARMLS,7791181,N,Y,29.78232,-95.338083
MLS Listing,,Vacant Land,5418 Bennington St,Houston,TX,77028,57500,,,Trinity Gardens Sec 02,,18040,,98,,,Active,,,http://www.redfin.com/TX/Houston/5418-Bennington-St-77028/home/29942301,HARMLS,94983569,N,Y,29.8175888,-95.3114553
MLS Listing,,Single Family Residential,4914 Earline St,Houston,TX,77016,169000,3,2.0,Buckingham Place Sec 01,1487,9300,1950,99,114,,Active,,,http://www.redfin.com/TX/Houston/4914-Earline-St-77016/home/29997084,HARMLS,61908213,N,Y,29.8415737,-95.3181539
MLS Listing,,Single Family Residential,13209 Corpus Christi St,Houston,TX,77015,184900,3,3.0,Home Owned Estates 5,1482,8400,1955,99,125,,Active,,,http://www.redfin.com/TX/Houston/13209-Corpus-Christi-St-77015/home/30076862,HARMLS,93093188,N,Y,29.7827607,-95.1924004
MLS Listing,,Single Family Residential,"8135,8139 Kenton St",Houston,TX,77028,320000,4,7.0,Liberty Road Manor Sec 03 U/r,3456,4000,2014,99,93,,Active,,,http://www.redfin.com/TX/Houston/8139-Kenton-St-77028/home/29732822,HARMLS,58529189,N,Y,29.8156811,-95.2779741
MLS Listing,,Vacant Land,00 Wylie St,Houston,TX,77026,93500,,,Ralston,,5500,,99,,,Active,,,http://www.redfin.com/TX/HOUSTON/WYLIE-ST-77026/home/29735576,HARMLS,47778872,N,Y,29.78846,-95.333761
MLS Listing,,Single Family Residential,2507 Des Chaumes St,Houston,TX,77026,289990,3,2.5,Liberty Square,1697,,,99,171,41,Active,,,http://www.redfin.com/TX/Houston/2507-Des-Chaumes-St-77026/home/146516487,HARMLS,13388201,N,Y,29.7847084,-95.3385137
MLS Listing,,Vacant Land,4217 Hare St,Houston,TX,77020,79900,,,Lexington Place,,4297,,101,,,Active,,,http://www.redfin.com/TX/Houston/4217-Hare-St-77020/home/29843142,HARMLS,30119656,N,Y,29.769463,-95.3279359
MLS Listing,,Vacant Land,1109 Worms St,Houston,TX,77020,175000,,,Michaud Addition,,17581,,103,,,Active,,,http://www.redfin.com/TX/Houston/1109-Worms-St-77020/home/29787886,HARMLS,22531532,N,Y,29.771403,-95.331954
MLS Listing,,Multi-Family (2-4 Unit),2401 Lockwood Dr,Houston,TX,77020,160000,0,1.0,Englewood,942,2500,1965,104,170,,Active,,,http://www.redfin.com/TX/Houston/2401-Lockwood-Dr-77020/home/29669901,HARMLS,23811000,N,Y,29.7833116,-95.3161524
MLS Listing,,Single Family Residential,4029 Buck St,Houston,TX,77020,299900,3,3.5,Replat/the Vlg/bryan Heights,2401,1575,2020,108,125,,Active,,,http://www.redfin.com/TX/Houston/4029-Buck-St-77020/home/112826304,HARMLS,20366902,N,Y,29.7702583,-95.3301234
MLS Listing,,Single Family Residential,1823 Cresline St,Houston,TX,77093,240000,3,2.0,Wellington Place,1995,8745,2020,115,120,,Active,,,http://www.redfin.com/TX/Houston/1823-Cresline-St-77093/home/29957123,HARMLS,58137791,N,Y,29.860979,-95.3570652
MLS Listing,,Vacant Land,7922 Sexton St,Houston,TX,77028,52900,,,Marcus Place,,7440,,115,,,Active,,,http://www.redfin.com/TX/Houston/7922-Sexton-St-77028/home/30011720,HARMLS,62707851,N,Y,29.807706,-95.283273
MLS Listing,,Vacant Land,4709 S Cavalcade St,Houston,TX,77026,165000,,,Kashmere Gardens,,15000,,116,,,Active,,,http://www.redfin.com/TX/Houston/4709-Cavalcade-St-77026/home/29936855,HARMLS,45191354,N,Y,29.800807,-95.322925
MLS Listing,,Vacant Land,4705 S Cavalcade St,Houston,TX,77026,295000,,,Kashmere Gardens,,30000,,116,,,Active,,,http://www.redfin.com/TX/Houston/4705-Cavalcade-St-77026/home/29936851,HARMLS,43729180,N,Y,29.8007989,-95.3230314
MLS Listing,,Vacant Land,00 Los Angeles St,Houston,TX,77026,75000,,,Crane Street Gardens,,9000,,116,,,Active,,,http://www.redfin.com/TX/Houston/3702-Los-Angeles-St-77026/home/30001456,HARMLS,58308292,N,Y,29.794739,-95.326516
MLS Listing,,Vacant Land,0 Cavalcade St,Houston,TX,77026,125000,,,Kashmere Gardens,,17500,,116,,,Active,,,http://www.redfin.com/TX/HOUSTON/CAVALCADE-ST-77026/home/29936718,HARMLS,63402890,N,Y,29.800828,-95.320769
MLS Listing,,Vacant Land,4513 Los Angeles St,Houston,TX,77026,75000,,,Crane Street Gardens,,9000,,116,,,Active,,,http://www.redfin.com/TX/Houston/4513-Los-Angeles-St-77026/home/29952797,HARMLS,83431171,N,Y,29.802087,-95.32748
MLS Listing,,Single Family Residential,8128 Eastover St,Houston,TX,77028,191000,3,2.0,Freedom Village,1650,2000,2020,118,116,,Active,,,http://www.redfin.com/TX/Houston/8128-Eastover-St-77028/home/108416764,HARMLS,62910115,N,Y,29.8243446,-95.2767677
MLS Listing,,Vacant Land,0 Trigg St,Houston,TX,77093,45000,,,Buckingham Place Sec 07,,10148,,119,,,Active,,,http://www.redfin.com/TX/HOUSTON/TRIGG-ST-77093/home/29997859,HARMLS,38424746,N,Y,29.849168,-95.324019
MLS Listing,,Vacant Land,000 Trigg St,Houston,TX,77093,35000,,,Buckingham Place Sec 07,,7670,,119,,,Active,,,http://www.redfin.com/TX/HOUSTON/TRIGG-ST-77093/home/29997860,HARMLS,2482204,N,Y,29.849166,-95.324748
MLS Listing,,Vacant Land,00 Trigg St,Houston,TX,77093,40000,,,Buckingham Place Sec 07,,10620,,119,,,Active,,,http://www.redfin.com/TX/HOUSTON/TRIGG-ST-77093/home/29997858,HARMLS,24270774,N,Y,29.849178,-95.324305
MLS Listing,,Single Family Residential,4506 Earline St,Houston,TX,77016,320000,5,3.0,Buckingham Place Sec 03,3500,10850,1948,119,91,,Active,,,http://www.redfin.com/TX/Houston/4506-Earline-St-77016/home/29997721,HARMLS,35301531,N,Y,29.8414192,-95.3242405
MLS Listing,,Single Family Residential,7809 Nashville St,Houston,TX,77028,160000,2,1.0,Settegast Gardens Sec 02,1056,4500,2017,120,152,,Active,,,http://www.redfin.com/TX/Houston/7809-Nashville-St-77028/home/30069022,HARMLS,54854641,N,Y,29.824049,-95.2863426
MLS Listing,,Single Family Residential,3005 Schuller Place Ct,Houston,TX,77093,159900,3,3.0,Schuller Place,1064,3173,2005,120,150,,Active,,,http://www.redfin.com/TX/Houston/3005-Schuller-Rd-77093/home/29264312,HARMLS,90604500,N,Y,29.8206216,-95.3402974
MLS Listing,,Single Family Residential,8718 Cowart St,Houston,TX,77029,115000,4,2.0,Pleasantville Sec 08,1495,5562,1955,121,77,,Active,,,http://www.redfin.com/TX/Houston/8718-Cowart-St-77029/home/30101971,HARMLS,97184102,N,Y,29.7646254,-95.2690763
MLS Listing,,Single Family Residential,6924 Hoffman St,Houston,TX,77028,145000,3,2.0,Trinity Gardens,864,30960,1940,122,168,,Active,,,http://www.redfin.com/TX/Houston/6924-Hoffman-St-77028/home/29942070,HARMLS,25648927,N,Y,29.8235178,-95.3108835
MLS Listing,,Single Family Residential,5421 Margarita St,Houston,TX,77020,175000,4,2.0,Buena Vista,910,8300,1942,123,192,,Active,,,http://www.redfin.com/TX/Houston/5421-Margarita-St-77020/home/29854730,HARMLS,45873958,N,Y,29.7705889,-95.3162749
MLS Listing,,Vacant Land,000 Hanna St,Houston,TX,77028,105000,,,East Houston Add,,40500,,125,,,Active,,,http://www.redfin.com/TX/HOUSTON/HANNA-ST-77028/home/29665141,HARMLS,62648100,N,Y,29.813354,-95.266362
MLS Listing,,Single Family Residential,3917 Falls St,Houston,TX,77026,214999,3,2.0,Valencia Park,1890,5000,1920,125,114,,Active,,,http://www.redfin.com/TX/Houston/3917-Falls-St-77026/home/29876744,HARMLS,55622304,N,Y,29.7959849,-95.3306954
MLS Listing,,Vacant Land,0 Maxey Rd,Houston,TX,77013,494900,,,Shady Brook,,31973,,125,,,Active,,,http://www.redfin.com/TX/Houston/Maxey-Rd-Unknown/home/73708864,HARMLS,17760308,N,Y,29.802472,-95.219066
MLS Listing,,Vacant Land,3711 Courtney St,Houston,TX,77026,36000,,,Ralston,,4500,,127,,,Active,,,http://www.redfin.com/TX/Houston/3711-Courtney-St-77026/home/29735534,HARMLS,25870005,N,Y,29.7871155,-95.3334418
MLS Listing,,Single Family Residential,3408 Baer St,Houston,TX,77020,200000,2,1.0,Cage,840,5000,1930,127,238,,Active,,,http://www.redfin.com/TX/Houston/3408-Baer-St-77020/home/29655925,HARMLS,17462566,N,Y,29.7678847,-95.3353123
MLS Listing,,Single Family Residential,7209 Weyburn St,Houston,TX,77028,134500,3,2.5,Rosewood Estates,1324,7800,1938,129,102,,Active,,,http://www.redfin.com/TX/Houston/7209-Weyburn-St-77028/home/29995795,HARMLS,59584076,N,Y,29.8368612,-95.299653
MLS Listing,,Vacant Land,7125 Weyburn St,Houston,TX,77028,24500,,,Hope For Families,,3900,,131,,,Active,,,http://www.redfin.com/TX/Houston/7125-Weyburn-St-77028/home/29146270,HARMLS,45645753,N,Y,29.8368916,-95.3000205
MLS Listing,,Single Family Residential,7621 W Knoll St,Houston,TX,77028,145000,3,1.5,Weyburn Place Sec 02,1236,7540,1956,132,117,,Active,,,http://www.redfin.com/TX/Houston/7621-W-Knoll-St-77028/home/30057548,HARMLS,6595344,N,Y,29.8351648,-95.2902211
MLS Listing,,Vacant Land,2905 Laura Koppe Rd,Houston,TX,77093,80000,,,Sherwick Place,,2834,,132,,,Active,,,http://www.redfin.com/TX/Houston/2905-Laura-Koppe-Rd-77093/home/146766956,HARMLS,67160761,N,Y,29.8408009,-95.340706
MLS Listing,,Multi-Family (2-4 Unit),5638 Finch St,Houston,TX,77028,177000,0,1.0,Triangle Gardens Sec 05,2156,6468,1940,133,82,,Active,,,http://www.redfin.com/TX/Houston/5638-Finch-St-77028/home/29979840,HARMLS,77262554,N,Y,29.8289965,-95.3091682
MLS Listing,,Single Family Residential,4031 Buck St,Houston,TX,77020,385000,3,3.5,Village/bryan Heights,2404,1500,2017,133,160,,Active,,,http://www.redfin.com/TX/Houston/4031-Buck-St-77020/home/103196169,HARMLS,89241815,N,Y,29.7702792,-95.3301394
MLS Listing,,Single Family Residential,8021 Filltop St,Houston,TX,77028,187500,3,2.5,Liberty Road Manor Sec 01,1432,4000,2020,134,131,,Active,,,http://www.redfin.com/TX/Houston/8021-Filltop-St-77028/home/29733063,HARMLS,95566694,N,Y,29.818484,-95.280104
MLS Listing,,Multi-Family (5+ Unit),4905 Kashmere St #8,Houston,TX,77026,685400,0,1.0,Kashmere Gardens,5984,15000,1950,134,115,,Active,,,http://www.redfin.com/TX/Houston/4905-Kashmere-St-77026/unit-8/home/29936985,HARMLS,88434922,N,Y,29.8050237,-95.3246583
MLS Listing,,Vacant Land,6011 Cavalcade St,Houston,TX,77026,99500,,,Liberty Gardens Sec 01,,8250,,134,,,Active,,,http://www.redfin.com/TX/Houston/6011-Cavalcade-St-77026/home/171131949,HARMLS,48486746,N,Y,29.8007494,-95.3097399
MLS Listing,,Townhouse,7882 Locksley Rd,Houston,TX,77078,108000,3,2.0,Park North Sec 01,1104,2103,1972,134,98,,Active,,,http://www.redfin.com/TX/Houston/7882-Locksley-Rd-77078/home/30248092,HARMLS,79289349,N,Y,29.853048,-95.283574
